id,name,acronym,graph_id,rgb_triplet,structure_id_path,structure_set_ids
869,"Posterolateral visual area, layer 4,VISpl4","['layer 4', 'VISpl4']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 869]","[396673091, 667481445, 691663206, 12, 184527634]"
902,"Posterolateral visual area, layer 5,VISpl5","['layer 5', 'VISpl5']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 902]","[396673091, 667481446, 691663206, 12, 184527634]"
377,"Posterolateral visual area, layer 6a,VISpl6a","['layer 6a', 'VISpl6a']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 377]","[396673091, 691663206, 667481449, 12, 184527634]"
393,"Posterolateral visual area, layer 6b,VISpl6b","['layer 6b', 'VISpl6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 425, 393]","[396673091, 691663206, 667481450, 12, 184527634]"
533,"posteromedial visual area,VISpm",['VISpm'],1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 112905813, 167587189, 114512891]"
805,"posteromedial visual area, layer 1,VISpm1","['layer 1', 'VISpm1']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 805]","[667481440, 396673091, 691663206, 12, 184527634]"
41,"posteromedial visual area, layer 2/3,VISpm2/3","['layer 2/3', 'VISpm2/3']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 41]","[667481441, 396673091, 691663206, 12, 184527634]"
501,"posteromedial visual area, layer 4,VISpm4","['layer 4', 'VISpm4']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 501]","[396673091, 667481445, 691663206, 12, 184527634]"
565,"posteromedial visual area, layer 5,VISpm5","['layer 5', 'VISpm5']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 565]","[396673091, 691663206, 667481446, 12, 184527634]"
257,"posteromedial visual area, layer 6a,VISpm6a","['layer 6a', 'VISpm6a']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 257]","[396673091, 691663206, 667481449, 12, 184527634]"
469,"posteromedial visual area, layer 6b,VISpm6b","['layer 6b', 'VISpm6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 533, 469]","[396673091, 691663206, 667481450, 12, 184527634]"
312782574,"Laterointermediate area,VISli",['VISli'],1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574]","[396673091, 112905828, 688152357, 691663206, 687527945, 184527634, 514166994, 167587189, 114512891]"
312782578,"Laterointermediate area, layer 1,VISli1","['layer 1', 'VISli1']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782578]","[667481440, 184527634, 396673091, 691663206]"
312782582,"Laterointermediate area, layer 2/3,VISli2/3","['layer 2/3', 'VISli2/3']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782582]","[667481441, 184527634, 396673091, 691663206]"
312782586,"Laterointermediate area, layer 4,VISli4","['layer 4', 'VISli4']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782586]","[184527634, 396673091, 667481445, 691663206]"
312782590,"Laterointermediate area, layer 5,VISli5","['layer 5', 'VISli5']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782590]","[184527634, 396673091, 667481446, 691663206]"
312782594,"Laterointermediate area, layer 6a,VISli6a","['layer 6a', 'VISli6a']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782594]","[667481449, 184527634, 396673091, 691663206]"
312782598,"Laterointermediate area, layer 6b,VISli6b","['layer 6b', 'VISli6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782574, 312782598]","[184527634, 396673091, 667481450, 691663206]"
312782628,"Postrhinal area,VISpor",['VISpor'],1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628]","[396673091, 112905828, 688152357, 691663206, 687527945, 184527634, 167587189, 114512891]"
312782632,"Postrhinal area, layer 1,VISpor1","['layer 1', 'VISpor1']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782632]","[667481440, 184527634, 396673091, 691663206]"
312782636,"Postrhinal area, layer 2/3,VISpor2/3","['layer 2/3', 'VISpor2/3']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782636]","[667481441, 184527634, 396673091, 691663206]"
312782640,"Postrhinal area, layer 4,VISpor4","['layer 4', 'VISpor4']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782640]","[184527634, 396673091, 667481445, 691663206]"
312782644,"Postrhinal area, layer 5,VISpor5","['layer 5', 'VISpor5']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782644]","[184527634, 396673091, 667481446, 691663206]"
312782648,"Postrhinal area, layer 6a,VISpor6a","['layer 6a', 'VISpor6a']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782648]","[667481449, 184527634, 396673091, 691663206]"
312782652,"Postrhinal area, layer 6b,VISpor6b","['layer 6b', 'VISpor6b']",1,"[8, 133, 140]","[997, 8, 567, 688, 695, 315, 669, 312782628, 312782652]","[184527634, 396673091, 667481450, 691663206]"
31,"Anterior cingulate area,ACA",['ACA'],1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31]","[3, 112905828, 691663206, 12, 184527634, 114512891]"
572,"Anterior cingulate area, layer 1,ACA1","['layer 1', 'ACA1']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 572]",[]
1053,"Anterior cingulate area, layer 2/3,ACA2/3","['layer 2/3', 'ACA2/3']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 1053]",[]
739,"Anterior cingulate area, layer 5,ACA5","['layer 5', 'ACA5']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 739]",[]
179,"Anterior cingulate area, layer 6a,ACA6a","['layer 6a', 'ACA6a']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 179]",[]
227,"Anterior cingulate area, layer 6b,ACA6b","['layer 6b', 'ACA6b']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 227]",[]
39,"Anterior cingulate area, dorsal part,ACAd","['dorsal part', 'ACAd']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
